City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
693,Bumba,CD,77.2,clear sky,2.1833,22.4667,Hôtel Cape Town
694,Padang,ID,78.93,overcast clouds,-0.9492,100.3543,Mercure Padang
695,Sabang,ID,80.11,light rain,5.8933,95.3214,Hotel Citra
697,Nsanje,MW,77.23,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
698,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
699,Sorong,ID,80.35,moderate rain,-0.8833,131.25,The Waigo Hotel
701,Kakinada,IN,68.86,broken clouds,16.9333,82.2167,Hotel Arka
704,Muswellbrook,AU,59.72,broken clouds,-32.2667,150.9,Wayfarer Motel
705,Port Augusta,AU,71.6,clear sky,-32.5,137.7667,Majestic Oasis Apartments
707,Atambua,ID,75.18,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
714,Sabha,LY,67.33,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
715,Poya,NC,79.32,overcast clouds,-21.35,165.15,
716,Qatana,SY,53.01,clear sky,33.4354,36.0815,جورج العين
717,Jaumave,MX,75.0,overcast clouds,23.4167,-99.3833,Hotel Las Guacamayas
